"Time","Force","Position","Speed","Acceleration"
51.5,50,0.999993668707993,-1.9704339531322e-06,4.15627563040225e-06
51.51,50,0.999993649210922,-1.92898021500363e-06,4.1453738128576e-06
51.52,50,0.999993630127836,-1.88763701881766e-06,4.13431961859497e-06
51.53,50,0.999993611457621,-1.84640587522881e-06,4.12311435888574e-06
51.54,50,0.999993593199151,-1.80528828176877e-06,4.11175934600473e-06
51.55,50,0.999993575351281,-1.76428572283718e-06,4.1002558931569e-06
51.56,50,0.999993557912854,-1.7233996696929e-06,4.08860531442894e-06
51.57,50,0.999993540882697,-1.68263158044652e-06,4.07680892463912e-06
51.58,50,0.999993524259625,-1.64198290005273e-06,4.06486803937944e-06
51.59,50,0.999993508042435,-1.60145506030343e-06,4.05278397492847e-06
51.6,50,0.999993492229912,-1.56104947982314e-06,4.04055804802922e-06
51.61,50,0.999993476820827,-1.52076756406272e-06,4.02819157604333e-06
51.62,50,0.999993461813936,-1.48061070529672e-06,4.01568587659738e-06
51.63,50,0.999993447207981,-1.44058028261891e-06,4.00304226778237e-06
51.64,50,0.999993433001691,-1.40067766193747e-06,3.99026206814432e-06
51.65,50,0.999993419193782,-1.36090419597405e-06,3.97734659634253e-06
51.66,50,0.999993405782954,-1.32126122426335e-06,3.96429717106879e-06
51.67,50,0.999993392767898,-1.28175007315055e-06,3.95111511128025e-06
51.68,50,0.999993380147287,-1.24237205579084e-06,3.93780173597164e-06
51.69,50,0.999993367919784,-1.20312847215045e-06,3.92435836403984e-06
51.7,50,0.999993356084039,-1.16402060900608e-06,3.91078631443506e-06
51.71,50,0.999993344638687,-1.12504973994869e-06,3.89708690573977e-06
51.72,50,0.999993333582353,-1.08621712538552e-06,3.88326145631814e-06
51.73,50,0.999993322913647,-1.04752401254068e-06,3.86931128448208e-06
51.74,50,0.999993312631169,-1.00897163546039e-06,3.8552377080298e-06
51.75,50,0.999993302733505,-9.70561215017449e-07,3.84104204429458e-06
51.76,50,0.999993293219229,-9.32293958914667e-07,3.82672561027896e-06
51.77,50,0.999993284086904,-8.94171061692487e-07,3.81228972221598e-06
51.78,50,0.99999327533508,-8.56193704733531e-07,3.79773569589642e-06
51.79,50,0.999993266962296,-8.18363056268381e-07,3.78306484651576e-06
51.8,50,0.999993258967079,-7.80680271384543e-07,3.76827848838181e-06
51.81,50,0.999993251347945,-7.43146492034891e-07,3.75337793496597e-06
51.82,50,0.999993244103399,-7.05762847044287e-07,3.73836449906112e-06
51.83,50,0.999993237231932,-6.68530452120282e-07,3.72323949240129e-06
51.84,50,0.999993230732028,-6.31450409861802e-07,3.7080042258461e-06
51.85,50,0.999993224602156,-5.94523809770656e-07,3.69266000911535e-06
51.86,50,0.999993218840779,-5.57751728261197e-07,3.6772081509466e-06
51.87,50,0.999993213446344,-5.2113522867235e-07,3.66164995888285e-06
51.88,50,0.999993208417291,-4.8467536128173e-07,3.64598673906271e-06
51.89,50,0.999993203752048,-4.48373163315328e-07,3.6302197966409e-06
51.9,50,0.999993199449034,-4.12229658962269e-07,3.61435043530662e-06
51.91,50,0.999993195506657,-3.76245859389775e-07,3.5983799572476e-06
51.92,50,0.999993191923313,-3.40422762755599e-07,3.58230966341829e-06
51.93,50,0.999993188697393,-3.04761354225031e-07,3.56614085305748e-06
51.94,50,0.999993185827273,-2.69262605984913e-07,3.54987482401255e-06
51.95,50,0.999993183311322,-2.33927477261811e-07,3.53351287230836e-06
51.96,50,0.9999931811479,-1.98756914336674e-07,3.51705629251445e-06
51.97,50,0.999993179335357,-1.63751850562783e-07,3.50050637738978e-06
51.98,50,0.999993177872031,-1.2891320638548e-07,3.48386441772848e-06
51.99,50,0.999993176756256,-9.42418893593515e-08,3.46713170261356e-06
52,50,0.999993175986352,-5.97387941660584e-08,3.45030951932999e-06
52.01,50,0.999993175560634,-2.54048026360593e-08,3.43339915300059e-06
