Time,Desired_Position,Position,Speed,Acceleration,Control_Input,Error
18.2,1.0,0.9939906744670904,0.0013461974484267488,-0.0003514181370253476,49.73170178207332,0.00600932553290956
18.21,1.0,0.9940041168377622,0.001342656198687523,-0.00034972493345696243,49.73236615847679,0.005995883162237758
18.22,1.0,0.9940175238875318,0.0013391319283313431,-0.0003480359519207367,49.733029195601084,0.00598247611246816
18.23,1.0,0.9940308957859748,0.001335624594798503,-0.00034635137752844975,49.733690881285824,0.005969104214025189
18.240000000000002,1.0,0.9940442327022314,0.0013321341536843613,-0.0003446713924869993,49.734351203547085,0.005955767297768588
18.25,1.0,0.9940575348049878,0.0013286605587683627,-0.00034299617592611063,49.7350101505952,0.005942465195012181
18.26,1.0,0.9940708022624579,0.0013252037620447648,-0.0003413259039207331,49.73566771083306,0.00592919773754208
18.27,1.0,0.9940840352423663,0.0013217637137531565,-0.0003396607495887948,49.736323872847095,0.005915964757633674
18.28,1.0,0.9940972339119302,0.0013183403624080056,-0.00033800088292841075,49.736978625424065,0.005902766088069833
18.29,1.0,0.9941103984378423,0.001314933654829816,-0.0003363464709410384,49.737631957539506,0.005889601562157676
18.3,1.0,0.9941235289862552,0.0013115435361750632,-0.00033469767765085005,49.73828385835643,0.005876471013744777
18.31,1.0,0.9941366257227633,0.0013081699499659235,-0.00033305466394750445,49.73893431724171,0.00586337427723671
18.32,1.0,0.9941496888123873,0.0013048128381215702,-0.0003314175877412032,49.739583323751326,0.0058503111876127
18.330000000000002,1.0,0.9941627184195588,0.0013014721409879769,-0.00032978660395329194,49.740230867632015,0.005837281580441167
18.34,1.0,0.9941757147081044,0.0012981477973677226,-0.00032816186445115583,49.74087693882849,0.005824285291895603
18.35,1.0,0.99418867784123,0.0012948397445505027,-0.0003265435180656065,49.74152152748246,0.005811322158770005
18.36,1.0,0.9942016079815061,0.0012915479183434695,-0.0003249317106152892,49.742164623930954,0.005798392018493859
18.37,1.0,0.9942145052908539,0.0012882722531012971,-0.000323326584975291,49.74280621870023,0.005785494709146133
18.38,1.0,0.9942273699305294,0.001285012681755587,-0.0003217282809253623,49.74344630252171,0.005772630069470597
18.39,1.0,0.9942402020611109,0.0012817691358457733,-0.00032013693532090796,49.74408486631574,0.005759797938889144
18.400000000000002,1.0,0.9942530018424841,0.0012785415455483268,-0.00031855268199766835,49.744721901201856,0.005746998157515892
18.41,1.0,0.9942657694338292,0.0012753298397069103,-0.00031697565178935463,49.745357398497866,0.005734230566170839
18.42,1.0,0.9942785049936077,0.001272133945862347,-0.00031540597262995904,49.74599134971051,0.0057214950063922965
18.43,1.0,0.9942912086795492,0.0012689537902815834,-0.0003138437693902449,49.746623746552515,0.005708791320450768
18.44,1.0,0.9943038806486392,0.0012657892979882688,-0.00031228916405212734,49.74725458092616,0.005696119351360829
18.45,1.0,0.9943165210571066,0.0012626403927916087,-0.0003107422756521877,49.74788384492969,0.00568347894289345
18.46,1.0,0.9943291300604121,0.0012595069973157541,-0.00030920322029942353,49.748511530856454,0.005670869939587875
18.47,1.0,0.9943417078132356,0.0012563890330290492,-0.00030767211107234836,49.749137631206,0.005658292186764391
18.48,1.0,0.9943542544694657,0.0012532864202742778,-0.0003061490582757709,49.74976213865942,0.0056457455305343185
18.490000000000002,1.0,0.9943667701821886,0.001250199078296358,-0.00030463416928496465,49.75038504609575,0.005633229817811447
18.5,1.0,0.9943792551036765,0.0012471269252715908,-0.0003031275485217809,49.751006346595226,0.005620744896323471
18.51,1.0,0.9943917093853779,0.0012440698783371372,-0.0003016292975747602,49.75162603342827,0.005608290614622091
18.52,1.0,0.9944041331779069,0.0012410278536193144,-0.00030013951518734655,49.752244100057574,0.005595866822093121
18.53,1.0,0.994416526631033,0.0012380007662619848,-0.00029865829719086614,49.75286054014566,0.005583473368967029
18.54,1.0,0.9944288898936723,0.0012349885304556328,-0.0002971857366770197,49.753475347538696,0.005571110106327715
18.55,1.0,0.9944412231138773,0.0012319910594647192,-0.00029572192383108177,49.75408851628399,0.005558776886122718
18.56,1.0,0.9944535264388281,0.0012290082656566824,-0.00029426694608261243,49.75470004061598,0.005546473561171883
18.57,1.0,0.994465800014824,0.001226040060529444,-0.0002928208880858146,49.75530991495909,0.005534199985176014
